agrp,rsex,ethnicgrpr,sexidr,rnssecgp_6,adj_imd_quintile,rwcasual,snnolov,snpres,snold,snsexdrv,snmedia,snearly,attconservative,dage1ch,disabil2,depscr,religimp,relstatr,total_wt
65-74,Male,White,Heterosexual/straight,Lower supervisory and technical occupations,2.0,Always wrong,Disagree,Agree,Agree strongly,Neither agree or disagree,Agree strongly,Agree strongly,1.7573230124137633,31.0,None,No,Fairly important,Widowed and not in a steady & ongoing relationship in last year,0.7381278444142675
35-44,Female,White,Heterosexual/straight,Lower supervisory and technical occupations,3.0,Sometimes wrong,Agree,Disagree strongly,Neither agree or disagree,Disagree strongly,Agree,Agree strongly,-0.8929778390503667,,Non-limiting,No,Fairly important,Living with partner,1.1774119059742068
16-24,Female,White,Heterosexual/straight,Student in full-time education,[least deprived],Mostly wrong,Disagree,Neither agree or disagree,Disagree,Agree,Agree strongly,Agree strongly,0.9234306452740586,,None,No,Fairly important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.38396643528613533
35-44,Male,White,Heterosexual/straight,Intermediate occupations,[least deprived],Mostly wrong,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree strongly,Agree,0.2774751632353225,31.0,None,No,Not very important,Divorced/Separated and not in a steady & ongoing relationship in last year,0.7639661051422337
16-24,Female,White,Heterosexual/straight,Semi-routine and routine occupations,[most deprived],Sometimes wrong,Disagree,Neither agree or disagree,Disagree,Disagree,Agree,Agree,-0.4019881989136548,18.0,None,No,Not important at all,In a steady & ongoing relationship  but not living with a partner in last year,0.28739567982961356
25-34,Female,White,Heterosexual/straight,Intermediate occupations,4.0,Mostly wrong,Neither agree or disagree,Agree,Agree strongly,Agree strongly,Agree,Agree strongly,1.3432302396698352,30.0,None,Yes,Fairly important,Married/In a civil partnership and living with spouse/partner,0.48646973210466354
16-24,Male,White,Heterosexual/straight,Semi-routine and routine occupations,[most deprived],Mostly wrong,Disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,-0.42697803094849274,,None,No,Not important at all,In a steady & ongoing relationship  but not living with a partner in last year,0.7775971627084912
45-54,Female,White,Heterosexual/straight,Small employers and own account workers,2.0,Depends/Don't know,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Agree,-0.9155891594630193,26.0,None,No,Fairly important,Married/In a civil partnership and living with spouse/partner,2.0645264406042627
16-24,Female,White,Heterosexual/straight,Student in full-time education,4.0,Rarely wrong,Agree,Agree strongly,Neither agree or disagree,Disagree,Agree strongly,Agree strongly,0.3739168792060715,,Non-limiting,No,Fairly important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.4173256989490126
16-24,Male,White,Heterosexual/straight,Student in full-time education,3.0,Sometimes wrong,Agree,Agree,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,-0.8582957546717628,,None,No,Fairly important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.44888988253306245
16-24,Male,White,Not heterosexual/straight,Semi-routine and routine occupations,4.0,Sometimes wrong,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,Disagree,Agree,-0.7664030377828427,,None,Yes,Not important at all,Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year,0.3685289652126481
55-64,Male,White,Heterosexual/straight,Semi-routine and routine occupations,[most deprived],Not wrong at all,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Agree strongly,-0.3538506703404635,29.0,Limiting,No,Not important at all,Divorced/Separated and not in a steady & ongoing relationship in last year,0.8311794896795013
25-34,Female,White,Heterosexual/straight,Semi-routine and routine occupations,3.0,Not wrong at all,Agree,Agree strongly,Agree,Disagree,Agree,Agree,-0.37394914372951615,20.0,None,No,Fairly important,Married/In a civil partnership and living with spouse/partner,0.4180228332935176
16-24,Female,White,Heterosexual/straight,Never worked or long term unemployed,[least deprived],Sometimes wrong,Neither agree or disagree,Agree,Don't know,Agree,Agree,Agree,,,Non-limiting,No,Not very important,In a steady & ongoing relationship  but not living with a partner in last year,0.4573103102844267
25-34,Female,White,Heterosexual/straight,Managerial and prof occupations,2.0,Mostly wrong,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Agree strongly,0.08675800097144146,,None,No,Not very important,In a steady & ongoing relationship  but not living with a partner in last year,0.7094018186545371
55-64,Male,White,Heterosexual/straight,Managerial and prof occupations,[least deprived],Not wrong at all,Agree,Agree strongly,Disagree,Neither agree or disagree,Agree,Agree,-0.6084707593919217,26.0,Non-limiting,No,Not very important,Married/In a civil partnership and living with spouse/partner,2.12113776871233
25-34,Female,White,Not heterosexual/straight,Semi-routine and routine occupations,4.0,Not wrong at all,Agree,Agree strongly,Neither agree or disagree,Disagree strongly,Agree,Neither agree or disagree,-1.1903935281913043,,None,No,Not very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.726308152558501
16-24,Male,White,Heterosexual/straight,Never worked or long term unemployed,[least deprived],Depends/Don't know,Agree,Agree,Don't know,Don't know,Don't know,Agree,,,None,,Not very important,,0.44888988253306245
45-54,Male,White,Heterosexual/straight,Small employers and own account workers,2.0,Sometimes wrong,Disagree,Agree strongly,Agree strongly,Agree,Agree,Agree,1.0371044200155621,28.0,None,No,Not important at all,Married/In a civil partnership and living with spouse/partner,4.086231496939105
16-24,Male,Not white,Heterosexual/straight,Student in full-time education,[least deprived],Mostly wrong,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Agree strongly,Agree strongly,0.6364508185740005,,None,No,Very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.4464667851936296
35-44,Female,White,Heterosexual/straight,Managerial and prof occupations,[least deprived],Sometimes wrong,Neither agree or disagree,Agree,Disagree,Disagree,Neither agree or disagree,Agree,-0.7942630414324093,,Limiting,No,Fairly important,Living with partner,1.1749833085176664
16-24,Female,Not white,Heterosexual/straight,Semi-routine and routine occupations,[most deprived],Always wrong,Agree,Agree strongly,Neither agree or disagree,Agree strongly,Agree strongly,Agree strongly,1.4320698532274392,,Non-limiting,No,Very important,In a steady & ongoing relationship  but not living with a partner in last year,2.0079692236367075
25-34,Female,Not white,Heterosexual/straight,Intermediate occupations,[least deprived],Sometimes wrong,Disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Agree strongly,0.4144561855481334,,None,No,Not important at all,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.9287162938084699
16-24,Female,White,Heterosexual/straight,Semi-routine and routine occupations,2.0,Not wrong at all,Agree strongly,Agree strongly,Neither agree or disagree,Agree,Disagree strongly,Agree,-1.5599122988184577,,Limiting,No,Not very important,In a steady & ongoing relationship  but not living with a partner in last year,0.4276704040807874
25-34,Female,White,Not heterosexual/straight,Small employers and own account workers,[most deprived],Always wrong,Agree,Agree strongly,Disagree,Disagree,Agree,Agree strongly,0.30482421437275464,,Limiting,Yes,Not important at all,In a steady & ongoing relationship  but not living with a partner in last year,0.5950223829179115
25-34,Female,White,Heterosexual/straight,Semi-routine and routine occupations,[most deprived],Always wrong,Disagree strongly,Agree,Agree,Agree,Disagree,Agree,0.4605337205938662,19.0,None,No,Not important at all,Living with partner,0.5950223829179115
16-24,Female,White,Heterosexual/straight,Student in full-time education,[least deprived],Sometimes wrong,Disagree strongly,Disagree,Agree,Agree,Neither agree or disagree,Agree strongly,0.4690150194822646,,None,No,Fairly important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.4173256989490126
55-64,Male,White,Heterosexual/straight,Intermediate occupations,2.0,Depends/Don't know,Agree,Disagree,Agree,Agree,Disagree,Don't know,,29.0,None,No,Fairly important,Married/In a civil partnership and living with spouse/partner,1.7766654767029721
16-24,Female,White,Heterosexual/straight,Student in full-time education,[least deprived],Sometimes wrong,Agree,Agree,Neither agree or disagree,Agree,Agree,Agree,-0.0992837265538164,,None,No,Not important at all,In a steady & ongoing relationship  but not living with a partner in last year,0.46549799576316986
65-74,Female,White,Heterosexual/straight,Never worked or long term unemployed,2.0,Mostly wrong,Disagree,Agree,Agree,Agree,Agree strongly,Agree strongly,1.5635197546279915,27.0,None,No,Fairly important,Living with partner,0.7431412647444904
35-44,Male,White,Heterosexual/straight,Managerial and prof occupations,2.0,Always wrong,Agree strongly,Agree strongly,Neither agree or disagree,Agree,Agree strongly,Agree strongly,0.9998035292513474,,None,Yes,Not important at all,Married/In a civil partnership and living with spouse/partner,1.6742921760223377
55-64,Female,White,Heterosexual/straight,Intermediate occupations,2.0,Sometimes wrong,Agree,Agree,Disagree,Disagree,Agree,Neither agree or disagree,-1.0998449163839736,18.0,Limiting,No,Very important,Married/In a civil partnership and living with spouse/partner,1.46169489420197
35-44,Female,White,Heterosexual/straight,Semi-routine and routine occupations,2.0,Rarely wrong,Agree strongly,Agree strongly,Agree,Agree,Agree,Agree strongly,0.3377441696162845,,None,No,Not very important,Living with partner,0.46839480931890165
65-74,Female,White,Heterosexual/straight,No job of 10+ hrs/week in last 10 years,2.0,Mostly wrong,Disagree,Agree,Agree,Disagree,Agree,Agree,0.4067017630790316,18.0,Non-limiting,No,Fairly important,Married/In a civil partnership and living with spouse/partner,1.5149637280003514
25-34,Male,Not white,Heterosexual/straight,Semi-routine and routine occupations,[least deprived],Mostly wrong,Disagree,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,1.2926037055422737,,None,No,Very important,Married/In a civil partnership and living with spouse/partner,1.2262176039263375
25-34,Female,White,Heterosexual/straight,Intermediate occupations,4.0,Sometimes wrong,Neither agree or disagree,Agree,Neither agree or disagree,Agree strongly,Neither agree or disagree,Agree strongly,0.3904149537661171,26.0,Non-limiting,No,Not important at all,Living with partner,0.46908257120760816
25-34,Female,White,Heterosexual/straight,Semi-routine and routine occupations,4.0,Always wrong,Neither agree or disagree,Agree strongly,Neither agree or disagree,Neither agree or disagree,Agree strongly,Agree strongly,1.3119857610984238,28.0,None,No,Fairly important,Living with partner,0.46908257120760816
55-64,Male,White,Heterosexual/straight,Semi-routine and routine occupations,4.0,Sometimes wrong,Agree,Neither agree or disagree,Agree strongly,Neither agree or disagree,Agree,Agree,-0.08621279921456883,,None,No,Not important at all,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.8035958254627704
25-34,Male,White,Heterosexual/straight,Semi-routine and routine occupations,[most deprived],Not wrong at all,Agree,Neither agree or disagree,Neither agree or disagree,Disagree,Disagree,Agree strongly,-1.334313386781568,21.0,Limiting,No,Not important at all,Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year,0.5783651590883454
25-34,Male,White,Heterosexual/straight,Managerial and prof occupations,4.0,Rarely wrong,Agree strongly,Agree,Agree,Agree strongly,Agree,Neither agree or disagree,-0.5456064504945678,,None,No,Not very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.8191541810255641
45-54,Female,White,Heterosexual/straight,Managerial and prof occupations,[most deprived],Always wrong,Agree,Agree,Disagree,Agree,Agree,Agree,0.02859876820830315,,None,No,Very important,In a steady & ongoing relationship  but not living with a partner in last year,0.8074293212808281
25-34,Female,White,Heterosexual/straight,Managerial and prof occupations,[most deprived],Mostly wrong,Disagree strongly,Agree strongly,Disagree,Neither agree or disagree,Agree strongly,Agree strongly,1.4303647351597284,,Limiting,No,Very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",1.4507636145313874
35-44,Female,White,Heterosexual/straight,Intermediate occupations,3.0,Mostly wrong,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,-0.23222617290989925,,Non-limiting,No,Fairly important,Living with partner,1.7954001952026089
35-44,Female,White,Heterosexual/straight,Semi-routine and routine occupations,[most deprived],Rarely wrong,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,1.096756197734231,18.0,None,Yes,Not important at all,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.5362968342617733
25-34,Female,White,Heterosexual/straight,Semi-routine and routine occupations,[most deprived],Sometimes wrong,Disagree,Agree strongly,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,-0.35423518719580344,,None,No,Not important at all,Living with partner,0.29751119145895577
65-74,Female,White,Heterosexual/straight,No job of 10+ hrs/week in last 10 years,4.0,Rarely wrong,Disagree,Agree,Agree strongly,Agree strongly,Agree strongly,Agree strongly,1.619754065234241,19.0,Limiting,No,Not very important,Married/In a civil partnership and living with spouse/partner,1.6638031588688194
35-44,Male,White,Not heterosexual/straight,Intermediate occupations,4.0,Sometimes wrong,Agree,Neither agree or disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,-1.5027548115729525,,None,No,Not very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",1.6207490164544716
45-54,Female,White,Heterosexual/straight,Intermediate occupations,[least deprived],Sometimes wrong,Agree strongly,Neither agree or disagree,Neither agree or disagree,Disagree,Disagree,Neither agree or disagree,-2.091277937267847,22.0,None,No,Not important at all,In a steady & ongoing relationship  but not living with a partner in last year,0.6663694332000125
16-24,Female,White,Heterosexual/straight,Intermediate occupations,2.0,Mostly wrong,Neither agree or disagree,Agree strongly,Neither agree or disagree,Neither agree or disagree,Agree strongly,Agree strongly,1.1433849084596703,,None,,Fairly important,Living with partner,0.6682354465418364
25-34,Male,White,Heterosexual/straight,Managerial and prof occupations,3.0,Sometimes wrong,Agree,Agree,Agree strongly,Agree,Disagree strongly,Agree,-0.7773733422256114,25.0,None,No,Not very important,Living with partner,0.934174566890518
65-74,Female,White,Heterosexual/straight,Semi-routine and routine occupations,3.0,Sometimes wrong,Agree,Agree,Disagree,Agree,Disagree,Agree,-1.0397549615375836,26.0,None,No,Very important,In a steady & ongoing relationship  but not living with a partner in last year,0.6965599115676948
16-24,Male,White,Heterosexual/straight,Never worked or long term unemployed,[most deprived],Always wrong,Neither agree or disagree,Disagree,Neither agree or disagree,Disagree,Agree strongly,Agree strongly,0.46351689076058034,,None,No,Very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",1.2972443823156667
16-24,Female,White,Heterosexual/straight,Managerial and prof occupations,[most deprived],Mostly wrong,Neither agree or disagree,Agree strongly,Agree strongly,Neither agree or disagree,Neither agree or disagree,Agree strongly,0.8308713050220654,22.0,Limiting,No,Not important at all,In a steady & ongoing relationship  but not living with a partner in last year,0.2707254207325315
55-64,Male,White,Heterosexual/straight,Small employers and own account workers,[most deprived],Always wrong,Disagree,Disagree,Disagree,Agree,Agree,Agree,0.08199642877743232,,Non-limiting,No,Very important,,0.7570431431568068
25-34,Female,White,Heterosexual/straight,No job of 10+ hrs/week in last 10 years,[most deprived],Always wrong,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,-0.06362532027114573,19.0,None,No,Not very important,In a steady & ongoing relationship  but not living with a partner in last year,0.3166054604719452
25-34,Female,White,Heterosexual/straight,Semi-routine and routine occupations,3.0,Always wrong,Disagree,Agree,Agree,Agree strongly,Agree strongly,Agree strongly,1.9162374126351138,24.0,Limiting,No,Not very important,Living with partner,0.610201146915126
55-64,Female,White,Heterosexual/straight,Managerial and prof occupations,2.0,Mostly wrong,Disagree,Agree,Disagree,Neither agree or disagree,Agree,Agree,0.17218014741662604,27.0,Non-limiting,No,Not very important,Married/In a civil partnership and living with spouse/partner,1.2958480877292655
65-74,Male,White,Heterosexual/straight,Lower supervisory and technical occupations,3.0,Always wrong,Agree,Agree,Agree,Agree,Agree,Don't know,,21.0,Non-limiting,No,Not important at all,Living with partner,0.8843828377702203
16-24,Female,White,Heterosexual/straight,Semi-routine and routine occupations,4.0,Rarely wrong,Agree,Agree,Agree,Neither agree or disagree,Agree,Agree,-0.24268217404555165,20.0,None,No,Not important at all,In a steady & ongoing relationship  but not living with a partner in last year,0.28795201723399666
25-34,Female,White,Heterosexual/straight,Semi-routine and routine occupations,3.0,Mostly wrong,Neither agree or disagree,Agree,Neither agree or disagree,Agree strongly,Neither agree or disagree,Agree strongly,0.5590158064048706,23.0,None,No,Not very important,In a steady & ongoing relationship  but not living with a partner in last year,0.28015043594916517
45-54,Male,White,Heterosexual/straight,Managerial and prof occupations,[most deprived],Rarely wrong,Neither agree or disagree,Agree,Agree,Disagree,Agree strongly,Agree strongly,0.6099349200060236,21.0,None,No,Not very important,In a steady & ongoing relationship  but not living with a partner in last year,1.067594249649062
25-34,Male,White,Heterosexual/straight,Student in full-time education,[most deprived],Sometimes wrong,Agree strongly,Agree,Disagree,Agree,Neither agree or disagree,Agree,-0.9223284679111167,21.0,None,No,Not very important,Married/In a civil partnership and living with spouse/partner,0.7674321205202126
16-24,Female,Not white,Heterosexual/straight,Intermediate occupations,4.0,Rarely wrong,Neither agree or disagree,Agree,Agree strongly,Agree strongly,Agree strongly,Agree strongly,1.3716045466265183,,None,Yes,Fairly important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.3222655909499658
45-54,Female,White,Heterosexual/straight,Managerial and prof occupations,2.0,Mostly wrong,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Agree,Agree,0.34266904983967805,22.0,None,No,Fairly important,Married/In a civil partnership and living with spouse/partner,2.0645264406042627
65-74,Female,White,Heterosexual/straight,No job of 10+ hrs/week in last 10 years,2.0,Always wrong,Agree,Agree strongly,Neither agree or disagree,Disagree,Agree,Agree,0.09113505631011046,20.0,None,No,Fairly important,Widowed and not in a steady & ongoing relationship in last year,2.9725650589779615
45-54,Male,White,Heterosexual/straight,Semi-routine and routine occupations,[most deprived],Not wrong at all,Agree,Disagree,Agree,Disagree,Disagree,Agree,-1.7694532331673702,28.0,None,No,Not very important,Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year,1.067594249649062
25-34,Male,White,Heterosexual/straight,Intermediate occupations,[most deprived],Not wrong at all,Agree strongly,Agree,Neither agree or disagree,Disagree,Agree,Agree,-1.0528685611757842,,Limiting,Yes,Not important at all,In a steady & ongoing relationship  but not living with a partner in last year,0.3837160602601063
25-34,Male,White,Heterosexual/straight,Small employers and own account workers,[least deprived],Rarely wrong,Agree,Disagree,Disagree,Disagree strongly,Neither agree or disagree,Agree,-1.838031594693571,,None,No,Fairly important,Living with partner,0.7397050540628731
45-54,Female,White,Heterosexual/straight,Managerial and prof occupations,[least deprived],Not wrong at all,Agree,Agree,Neither agree or disagree,Disagree,Agree,Agree,-0.8047190425680617,34.0,None,No,Not important at all,Married/In a civil partnership and living with spouse/partner,1.8884260983418812
16-24,Female,Not white,Heterosexual/straight,Student in full-time education,[least deprived],Sometimes wrong,Neither agree or disagree,Disagree,Neither agree or disagree,Agree,Agree,Agree,-0.29403558459240997,,None,No,Not important at all,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.3006104930354464
45-54,Female,White,Heterosexual/straight,Managerial and prof occupations,[least deprived],Mostly wrong,Agree,Agree strongly,Agree,Agree strongly,Agree strongly,Agree strongly,1.4727882111040733,35.0,Limiting,No,Not very important,Divorced/Separated and not in a steady & ongoing relationship in last year,1.3575034595349673
65-74,Female,White,Heterosexual/straight,Managerial and prof occupations,[least deprived],Always wrong,Agree,Neither agree or disagree,Disagree strongly,Agree,Neither agree or disagree,Neither agree or disagree,-1.1907555114424642,,None,No,Not important at all,Divorced/Separated and not in a steady & ongoing relationship in last year,0.6965599115676948
16-24,Male,White,Heterosexual/straight,Semi-routine and routine occupations,[least deprived],Sometimes wrong,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Agree,-0.32073441487697457,,None,No,Not very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",1.077846930622585
16-24,Female,White,Heterosexual/straight,Student in full-time education,2.0,Mostly wrong,Agree,Agree strongly,Neither agree or disagree,Agree,Agree,Agree strongly,0.7137761829861269,,None,No,Not important at all,In a steady & ongoing relationship  but not living with a partner in last year,0.6249995577586939
65-74,Male,White,Heterosexual/straight,No job of 10+ hrs/week in last 10 years,2.0,Mostly wrong,Agree,Agree,Agree,Disagree,Agree,Agree,-0.08959727413641377,19.0,Non-limiting,No,Fairly important,Married/In a civil partnership and living with spouse/partner,1.4494372748174276
45-54,Male,White,Heterosexual/straight,Managerial and prof occupations,[least deprived],Sometimes wrong,Agree,Agree strongly,Agree,Agree,Agree,Don't know,,,None,No,Fairly important,Married/In a civil partnership and living with spouse/partner,1.5573723647690654
16-24,Female,White,Heterosexual/straight,Student in full-time education,2.0,Always wrong,Neither agree or disagree,Agree,Agree,Agree,Agree strongly,Agree strongly,1.4839710886590223,,None,No,Not very important,In a steady & ongoing relationship  but not living with a partner in last year,0.699988394654119
45-54,Female,White,Heterosexual/straight,Managerial and prof occupations,[least deprived],Mostly wrong,Agree strongly,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,-0.7406566879331155,31.0,None,No,Not very important,Married/In a civil partnership and living with spouse/partner,1.9991082996000378
55-64,Male,White,Heterosexual/straight,Managerial and prof occupations,2.0,Mostly wrong,Agree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree strongly,0.12674948242877876,,None,No,Fairly important,In a steady & ongoing relationship  but not living with a partner in last year,0.8035958254627704
25-34,Female,White,Heterosexual/straight,Intermediate occupations,[least deprived],Not wrong at all,Agree strongly,Neither agree or disagree,Disagree,Disagree strongly,Agree,Neither agree or disagree,-2.0907636339607305,,None,No,Not important at all,In a steady & ongoing relationship  but not living with a partner in last year,0.7529599534381036
65-74,Female,White,Heterosexual/straight,Managerial and prof occupations,[least deprived],Not wrong at all,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,-0.9983097272416531,22.0,None,No,Not very important,Divorced/Separated and not in a steady & ongoing relationship in last year,0.8319015794344097
55-64,Female,White,Heterosexual/straight,Intermediate occupations,[least deprived],Always wrong,Agree,Neither agree or disagree,Agree,Agree,Agree,Agree strongly,0.6487948694939514,28.0,Non-limiting,Yes,Not very important,Married/In a civil partnership and living with spouse/partner,1.6698013311254443
16-24,Male,White,Heterosexual/straight,Semi-routine and routine occupations,4.0,Not wrong at all,Agree strongly,Agree strongly,Disagree,Agree strongly,Disagree,Agree strongly,-0.7965303231532546,,None,,Fairly important,,0.3601233845487993
45-54,Male,White,Heterosexual/straight,Managerial and prof occupations,4.0,Not wrong at all,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,-1.055742083585495,,Non-limiting,,Not important at all,Married/In a civil partnership and living with spouse/partner,2.587167822074707
16-24,Female,White,Heterosexual/straight,Never worked or long term unemployed,4.0,Sometimes wrong,Agree,Agree,Neither agree or disagree,Agree,Agree strongly,Agree strongly,0.6893006542584051,20.0,None,No,Not very important,Living with partner,0.5882470727810377
55-64,Female,White,Heterosexual/straight,Semi-routine and routine occupations,2.0,Always wrong,Disagree strongly,Agree strongly,Disagree strongly,Agree,Agree strongly,Agree strongly,1.5737631826514633,18.0,Limiting,No,Very important,Married/In a civil partnership and living with spouse/partner,1.172602444464357
25-34,Male,Not white,Heterosexual/straight,Managerial and prof occupations,[most deprived],Mostly wrong,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Agree strongly,Agree strongly,0.6737847015287894,,None,No,Very important,In a steady & ongoing relationship  but not living with a partner in last year,1.2860234993046444
16-24,Female,Not white,Heterosexual/straight,Student in full-time education,4.0,Mostly wrong,Disagree strongly,Agree,Neither agree or disagree,Agree,Agree strongly,Agree,1.1793416941422952,,None,,Very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.35354634767503734
25-34,Male,Not white,Heterosexual/straight,Semi-routine and routine occupations,[most deprived],Always wrong,Disagree strongly,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Agree strongly,1.2212580977565213,20.0,Limiting,Yes,Very important,Married/In a civil partnership and living with spouse/partner,0.7674321205202126
25-34,Female,Not white,Heterosexual/straight,Semi-routine and routine occupations,4.0,Depends/Don't know,Disagree,Disagree,Agree,Disagree,Agree strongly,Agree strongly,-0.25922034858758397,23.0,None,No,Very important,Married/In a civil partnership and living with spouse/partner,0.5004048307490793
25-34,Female,White,Heterosexual/straight,Lower supervisory and technical occupations,4.0,Always wrong,Disagree strongly,Agree strongly,Disagree,Disagree strongly,Agree strongly,Agree strongly,1.2307319770617438,,Limiting,No,Very important,Married/In a civil partnership and living with spouse/partner,0.6703844709868935
55-64,Female,White,Heterosexual/straight,Managerial and prof occupations,[least deprived],Mostly wrong,Agree,Agree strongly,Agree,Neither agree or disagree,Agree,Agree strongly,0.7389785881331452,30.0,None,No,Not very important,Married/In a civil partnership and living with spouse/partner,1.4755413319877135
55-64,Male,White,Heterosexual/straight,Managerial and prof occupations,[least deprived],Sometimes wrong,Agree,Agree,Agree,Agree,Agree,Agree strongly,0.5330438525396026,29.0,None,No,Fairly important,Divorced/Separated and not in a steady & ongoing relationship in last year,0.8883327383514861
55-64,Female,White,Heterosexual/straight,Managerial and prof occupations,[least deprived],Sometimes wrong,Agree,Disagree,Agree,Agree,Agree strongly,Neither agree or disagree,-0.39029824902858706,31.0,Limiting,No,Not very important,Married/In a civil partnership and living with spouse/partner,1.4755413319877135
35-44,Male,White,Heterosexual/straight,Managerial and prof occupations,2.0,Sometimes wrong,Disagree,Agree,Disagree,Disagree,Agree,Agree strongly,0.242470857987535,23.0,Non-limiting,No,Not very important,Married/In a civil partnership and living with spouse/partner,1.9001943861164423
45-54,Female,White,Heterosexual/straight,Managerial and prof occupations,2.0,Not wrong at all,Agree,Disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,-2.0614072051736176,,None,No,Not important at all,Living with partner,1.0167001141253167
55-64,Female,White,Heterosexual/straight,Managerial and prof occupations,[least deprived],Sometimes wrong,Neither agree or disagree,Agree,Agree,Disagree,Neither agree or disagree,Agree,-0.37562462040163447,27.0,None,No,Not very important,Married/In a civil partnership and living with spouse/partner,1.172602444464357
35-44,Male,White,Heterosexual/straight,Managerial and prof occupations,2.0,Depends/Don't know,Agree,Agree,Agree,Neither agree or disagree,Agree,Agree,-0.9170855846005657,,Non-limiting,No,Not very important,Married/In a civil partnership and living with spouse/partner,1.4671787891357306
16-24,Male,Not white,Heterosexual/straight,Student in full-time education,4.0,Sometimes wrong,Agree strongly,Agree strongly,Neither agree or disagree,Agree,Agree,Disagree,-0.9719992939944443,,None,Yes,Not very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.5165542208185873
65-74,Male,White,Heterosexual/straight,Managerial and prof occupations,3.0,Not wrong at all,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,-0.6206022371996925,,None,,Not important at all,Married/In a civil partnership and living with spouse/partner,1.5958528867078265
55-64,Female,White,Heterosexual/straight,Never worked or long term unemployed,[most deprived],Sometimes wrong,Disagree,Disagree,Disagree,Agree,Agree strongly,Agree strongly,0.5333791043121469,,None,No,Not very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",1.2898231970983882
25-34,Female,White,Heterosexual/straight,Semi-routine and routine occupations,[most deprived],Mostly wrong,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Agree strongly,Agree strongly,0.6737847015287894,20.0,None,No,Not very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.26279479977814024
16-24,Female,White,Heterosexual/straight,Semi-routine and routine occupations,[most deprived],Always wrong,Disagree,Agree,Neither agree or disagree,Agree,Agree,Agree strongly,1.1572253845171676,,Limiting,Yes,Not important at all,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.3989800946358773
25-34,Female,White,Heterosexual/straight,Intermediate occupations,[most deprived],Always wrong,Disagree,Agree,Agree,Agree strongly,Disagree strongly,Agree strongly,0.4539333636983543,20.0,None,No,Not important at all,In a steady & ongoing relationship  but not living with a partner in last year,0.2941683494654399
